"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"25-Jan-2019","-","-","-","     8069.38","      128823960","         9120.70"
"28-Jan-2019","-","-","-","     8036.77","      182579832","        10840.38"
"29-Jan-2019","-","-","-","     8045.54","       92413061","         7161.94"
"30-Jan-2019","-","-","-","     8068.33","       91961796","         7686.98"
"31-Jan-2019","-","-","-","     8145.91","      131977323","         9822.09"
"01-Feb-2019","-","-","-","     8247.62","      112056732","        10304.28"
"04-Feb-2019","-","-","-","     8201.71","       81873153","         5622.49"
"05-Feb-2019","-","-","-","     8224.37","       65040994","         4822.86"
"06-Feb-2019","-","-","-","     8300.62","       70569243","         5379.17"
"07-Feb-2019","-","-","-","     8377.45","       54258711","         5075.52"
"08-Feb-2019","-","-","-","     8262.49","       51278869","         5295.98"
"11-Feb-2019","-","-","-","     8244.75","       51769070","         4801.77"
"12-Feb-2019","-","-","-","     8212.94","       57897569","         5348.66"
"13-Feb-2019","-","-","-","     8147.41","       78346396","         6310.26"
"14-Feb-2019","-","-","-","     8114.56","       68329478","         5218.09"
"15-Feb-2019","-","-","-","     8060.92","       93684376","         6135.11"
"18-Feb-2019","-","-","-","     7999.95","       86559409","         5748.15"
"19-Feb-2019","-","-","-","     7940.43","       84687687","         5941.22"
"20-Feb-2019","-","-","-","     7999.96","       63893753","         4979.49"
"21-Feb-2019","-","-","-","     8030.29","       56370859","         5005.97"
"22-Feb-2019","-","-","-","     8067.83","       50335913","         4553.41"
"25-Feb-2019","-","-","-","     8144.48","       78707006","         5194.94"
